species.code,habit,duration_final,no.pts,bin1o,bin2o,bin3o,max.vars.5epv
MEOF,forb_herb,Biennial,1703,412,663,628,82
MERE9,grass,Annual,399,197,175,27,5
MISI,grass,Perennial,107,58,30,19,3
MOAL,tree,Perennial,87,31,43,13,2
MUKE,forb_herb,Perennial,57,18,25,14,2
NECO3,forb_herb,Perennial,326,71,156,99,14
OPHIU2,grass,Perennial,76,36,30,10,2
PAFO3,vine,Perennial,209,81,105,23,4
PASA2,forb_herb,Biennial,1540,610,619,311,62
PEPU2,grass,Perennial,139,63,47,29,5
POPE10,MULTIPLE,Annual,170,49,70,51,9
POSA4,forb_herb,Perennial,82,14,29,39,2
RICO3,shrub_subshrub,Perennial,183,81,87,15,3
RUAC3,forb_herb,Perennial,84,12,62,10,2
RUCA19,shrub_subshrub,Perennial,80,34,23,23,4
SAHY2,forb_herb,Perennial,156,62,80,14,2
SAKA,forb_herb,Annual,298,31,173,94,6
SATR12,forb_herb,Annual,572,294,189,89,17
SEJA,forb_herb,Perennial,82,32,39,11,2
SIAL2,forb_herb,Biennial,266,36,202,28,5
SOAR2,forb_herb,Perennial,327,88,163,76,15
SODU,MULTIPLE,Perennial,192,94,76,22,4
SPTR6,vine,Annual,300,67,164,69,13
SYPO,vine,Perennial,170,66,88,16,3
TACA8,grass,Annual,74,26,32,16,3
TOJA,forb_herb,Annual,81,41,28,12,2
TRFL,forb_herb,Perennial,70,22,21,27,4
ULPU,tree,Perennial,297,128,110,59,11
URLO,forb_herb,Perennial,815,499,288,28,5
URMA3,grass,Perennial,356,100,205,51,10
VEIN9,forb_herb,Annual/Biennial/Perennial,137,32,54,51,6
VICR,vine,Perennial,185,44,92,49,8
VIVI,vine,Annual,158,13,78,67,2
WISI,vine,Perennial,427,218,153,56,11
